Company,52-Week Low,Recent Price,52-Week High,Beta,Daily Volume (3-month avg),Daily Volume (10-day avg),52-Week Change,52-Week Change relative to S&P500,Market Capitalization,Shares Outstanding,Float,Annual Dividend,Dividend Yield,Last Split,Book Value,Earnings (ttm),Earnings (mrq),Sales (per share),Cash,Price/Book,Price/Earnings,Price/Sales,Sales (ttm),EBITDA,Income,Profit Margin,Operating Margin,Fiscal Year Ends,Most recent quarter,Return Assets,Return Equity,Current Ratio,Debt/Equity,Total Cash,Shares Short,Percent of Float,Shares Short (Prior Month),Short Ratio,Daily Volume,Start Price,End Price,Company Return,Market Return,Avg Trade Volume,Delta Return,
ABT.TO,3,4.26,5.25,N/A,"33,139","21,225",13.28%,15.60%,184.62M,43.34M,38.44M,N/A,N/A,2-Jan-08,-0.3,N/A,N/A,1.61,0.82,N/A,N/A,2.61,72.20M,8.31M,-1.15M,-1.59%,1.47%,30-Jun,30-Jun-11,0.55%,N/A,0.96,N/A,35.52M,N/A,N/A,N/A,N/A,"15,625",4.58,4.94,7.86,-31.33,119596.13,39.19,
ABTL,0.71,0.77,1.57,1.32,"60,255","152,975",N/A,none,35.51M,46.12M,35.07M,N/A,N/A,N/A,0.53,-0.07,-0.07,1.36,0.2,1.48,N/A,0.58,62.25M,648.00K,-3.22M,-5.18%,-2.33%,31-Dec,30-Sep-11,-2.35%,-12.83%,2.64,20.58,9.24M,90.75K,N/A,99.76K,1.8,"7,112",0.71,0.7,-1.41,-31.33,157129.34,29.92,
ABU.V,0.14,0.15,0.35,N/A,"2,500","5,000",-54.29%,-51.97%,2.73M,18.18M,14.03M,N/A,N/A,N/A,0.12,N/A,N/A,0.03,0.06,1.34,N/A,6.38,441.81K,-636.81K,-734.70K,-166.29%,-173.87%,31-Dec,31-Mar-11,-20.19%,-33.50%,9.83,N/A,1.17M,N/A,N/A,N/A,N/A,"5,000",0.12,0.13,8.33,-31.33,600,39.67,
ABV-C,none,25.21,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"14,388",28.12,28.87,2.67,-31.33,322686.09,34,
ABV,25.59,31.51,36.3,0.83,"3,032,320","2,235,930",13.30%,15.62%,98.21B,3.12B,1.20B,0.75,2.30%,28-Dec-10,4.32,1.42,1.42,4.55,1.14,7.3,22.24,6.97,14.10B,6.58B,4.41B,31.27%,41.32%,31-Dec,30-Sep-11,15.36%,33.38%,0.95,21.12,3.56B,8.80M,N/A,11.65M,2.8,"1,284,010",34.68,36.09,4.07,-31.33,64674266.97,35.4,
ABVA,3.3,5.05,7,0.5,"13,745","20,763",40.28%,42.60%,25.80M,5.11M,4.45M,N/A,N/A,7-Jun-06,7,0.23,0.23,3.66,16.34,0.72,21.96,1.38,18.69M,N/A,1.16M,6.20%,12.62%,31-Dec,30-Jun-11,0.20%,3.25%,N/A,N/A,83.45M,2.02K,N/A,6.12K,0.1,"3,700",3.77,3.48,-7.69,-31.33,15653.33,23.64,
ABVT,49.79,53.87,78.07,0.42,"161,538","122,988",-12.64%,-10.32%,1.39B,25.82M,19.33M,N/A,N/A,4-Sep-09,24.06,2.66,2.66,17.79,3.95,2.23,20.28,3.01,459.00M,184.90M,70.90M,15.45%,24.34%,31-Dec,30-Sep-11,7.82%,11.13%,1.39,8.85,101.90M,1.10M,5.30%,1.22M,7.8,"82,934",59.49,65.01,9.28,-31.33,11594643.59,40.61,
ABX,42.5,47.59,55.95,0.25,"8,151,880","5,833,090",-4.90%,-2.58%,47.58B,999.80M,997.52M,0.6,1.30%,2-Mar-93,22.38,4.17,4.17,13.49,2.97,2.14,11.4,3.56,13.46B,7.56B,4.14B,31.05%,46.49%,31-Dec,30-Sep-11,9.88%,19.14%,2.27,54.71,2.96B,5.12M,N/A,7.26M,0.7,"2,423,721",52.81,45.25,-14.32,-31.33,243986139,17.02,
ABX.TO,42.06,50.16,55.99,N/A,"3,418,540","2,511,200",-4.44%,-2.12%,50.15B,999.80M,997.52M,N/A,N/A,N/A,22.38,4.17,4.17,13.49,2.97,2.21,12.02,3.68,13.46B,7.56B,4.14B,31.05%,46.49%,31-Dec,30-Sep-11,9.88%,19.14%,2.27,54.71,2.96B,N/A,N/A,N/A,N/A,"1,644,673",53.49,46.15,-13.72,-31.33,128684109.6,17.61,
ACAD,0.66,0.99,3.3,2.72,"251,292","118,575",42.86%,45.18%,52.27M,52.80M,38.95M,N/A,N/A,N/A,0.53,0.24,0.24,0.76,0.69,1.88,4.16,1.43,36.88M,12.04M,11.68M,31.66%,31.43%,31-Dec,30-Sep-11,19.91%,83.49%,5.74,0.13,36.15M,181.12K,N/A,267.61K,0.5,"43,831",0.95,1.08,13.68,-31.33,126173.96,45.02,
ACAR.OB,0.31,0.37,1.2,N/A,"41,926","15,463",-65.71%,-63.39%,13.14M,35.52M,25.57M,N/A,N/A,N/A,0,-0.5,-0.5,0.03,0.01,N/A,N/A,17.31,738.49K,-11.49M,-12.26M,N/A,-1486.33%,30-Sep,30-Jun-11,-682.58%,N/A,0.44,N/A,318.44K,N/A,N/A,N/A,N/A,"7,250",0.5,0.205,-59,-31.33,102.5,-27.67,
ACAS,5.98,6.54,10.85,2.69,"4,248,890","3,528,110",-10.88%,-8.56%,2.20B,337.00M,274.54M,N/A,N/A,N/A,11.92,2.13,2.13,1.66,0.59,0.55,3.07,3.85,574.00M,394.00M,761.00M,132.58%,67.42%,31-Dec,30-Sep-11,4.15%,20.89%,1.5,40.51,200.00M,5.48M,1.80%,9.04M,1.2,"605,207",7.03,6.73,-4.27,-31.33,16584520.28,27.06,
ACAT,11.55,18.8,22.12,2.38,"114,200","121,900",27.50%,29.82%,343.91M,18.29M,11.77M,N/A,N/A,6-Sep-94,11.2,1,1,27.7,5.28,1.7,18.71,0.69,505.19M,40.97M,18.76M,3.71%,5.34%,31-Mar,30-Sep-11,5.08%,9.70%,2.09,N/A,96.56M,541.22K,3.30%,566.99K,5.1,"34,612",19.35,22.55,16.54,-31.33,2324262.05,47.87,
ACC,30.03,37.22,41.29,0.74,"1,130,600","840,757",15.63%,17.95%,2.64B,70.86M,70.47M,1.35,3.60%,N/A,18.52,0.79,0.79,5.79,0.4,2,47.11,6.67,394.53M,189.99M,39.43M,13.82%,25.34%,31-Dec,30-Sep-11,2.33%,3.19%,0.8,91.67,28.50M,4.69M,7.80%,5.92M,4.3,"216,704",39.04,41.96,7.48,-31.33,15860413.52,38.81,
ACC.TO,6.25,7.58,9,N/A,"25,827","26,688",5.56%,7.88%,171.00M,22.56M,15.14M,N/A,N/A,13-Jan-03,5.65,0.56,0.56,3.12,0.22,1.34,13.54,2.63,65.01M,15.40M,11.31M,17.40%,9.51%,31-May,31-Aug-11,1.26%,9.49%,0.38,144.02,4.97M,N/A,N/A,N/A,N/A,"21,887",7.89,7.8,-1.14,-31.33,68326.25,30.19,
ACCL,5.68,6.38,8.95,0.99,"190,477","147,738",-25.03%,-22.71%,353.90M,55.47M,43.78M,N/A,N/A,N/A,4.18,-0.49,-0.49,2.15,2.1,1.53,N/A,3.1,114.81M,-8.00M,-26.32M,-22.93%,-22.15%,31-Dec,30-Sep-11,N/A,N/A,1.32,N/A,116.43M,2.15M,N/A,2.36M,10.2,"67,878",7.05,6.72,-4.68,-31.33,942379.83,26.65,
ACCP.OB,1.26,1.35,3.38,0.57,"26,468","54,913",-54.24%,-51.92%,31.28M,23.17M,16.02M,N/A,N/A,N/A,-1.2,-0.12,-0.12,0.08,0.06,N/A,N/A,20.98,1.49M,-7.83M,-2.29M,-34.25%,-541.57%,31-Dec,30-Sep-11,-224.05%,N/A,0.12,N/A,1.35M,0,N/A,26.42K,0,"6,670",1.47,1.44,-2.04,-31.33,146261.45,29.29,
ACE,56.9,64.93,73.76,1.05,"2,511,950","2,728,030",9.61%,11.93%,21.87B,336.82M,335.17M,1.4,2.20%,3-Mar-98,70.6,5.38,5.38,49.5,9.33,0.91,12.06,1.3,16.76B,2.59B,1.84B,10.95%,15.33%,31-Dec,30-Sep-11,1.88%,7.88%,0.65,26.14,3.14B,4.87M,1.60%,3.93M,1.7,"1,164,429",68.6,70.12,2.22,-31.33,95955733.2,33.55,
ACET,4.51,5.84,9.47,1.41,"109,308","67,588",-21.53%,-19.21%,156.10M,26.73M,24.29M,0.2,3.50%,11-Jan-05,6.04,0.34,0.34,16.27,1.24,0.95,17.13,0.36,426.08M,26.17M,9.20M,2.16%,4.64%,30-Jun,30-Sep-11,4.73%,5.95%,2.79,33.41,33.03M,887.42K,3.50%,999.27K,8.6,"50,540",6.76,6.9,2.07,-31.33,584377.63,33.4,
ACFC,0.92,0.87,10.44,0.73,"7,158","3,813",-43.90%,-41.58%,2.21M,2.54M,2.23M,N/A,N/A,N/A,21.33,-0.94,-0.94,1.17,10.97,0.04,N/A,0.15,15.40M,N/A,-12.30M,-79.87%,-45.52%,31-Dec,30-Jun-11,-1.44%,-22.92%,N/A,N/A,27.82M,1.56K,N/A,1.13K,0.2,615,1.17,2.85,143.59,-31.33,100841.52,174.92,
ACFN,3.33,5.3,5.75,0.02,"64,878","94,100",28.68%,31.00%,92.83M,17.52M,16.30M,0.14,2.70%,21-Jun-93,4.11,1.29,1.29,2.22,3.15,1.28,4.11,2.42,37.95M,-5.87M,4.04M,58.64%,-20.96%,31-Dec,30-Sep-11,-6.21%,5.34%,7.19,1.58,55.18M,101.10K,0.60%,102.48K,2.2,"11,450",5.45,6.04,10.83,-31.33,233720.07,42.16,
ACG,7.36,8.04,8.23,0.16,"518,342","767,571",-1.83%,0.49%,1.95B,242.91M,N/A,0.44,5.50%,N/A,8.9,0.74,0.74,0.52,0,0.91,10.94,15.38,127.31M,N/A,178.46M,140.17%,90.04%,31-Dec,30-Jun-11,2.29%,8.38%,0.04,47.36,229.89K,83.92K,N/A,121.40K,0.2,"393,935",8.12,8.07,-0.62,-31.33,5158367.9,30.72,
ACG.V,0.09,0.06,0.41,N/A,"150,436","351,662",-66.67%,-64.35%,11.11M,202.00M,173.85M,N/A,N/A,N/A,0.13,N/A,N/A,0,0.06,0.69,N/A,57.46,316.41K,-1.87M,-2.54M,N/A,-846.88%,31-Dec,30-Jun-11,-8.18%,-13.49%,5.89,N/A,12.78M,N/A,N/A,N/A,N/A,"2,683,073",0.06,0.065,8.33,-31.33,7785.25,39.67,
ACGL,28.54,36.22,37.51,0.56,"884,911","986,538",14.12%,16.44%,4.86B,134.19M,118.50M,N/A,N/A,12-May-11,31.2,3.55,3.55,23.29,8.87,1.12,10.2,1.49,3.14B,N/A,501.35M,16.78%,17.18%,31-Dec,30-Sep-11,1.92%,11.47%,2.78,17.63,1.19B,4.03M,3.60%,3.88M,4.7,"1,173,770",37.48,37.23,-0.67,-31.33,22709443.83,30.67,
ACH,10.39,11.21,25.88,1.8,"504,294","310,900",-51.23%,-48.91%,5.93B,528.56M,286.17M,0.07,0.60%,11-Oct-06,15.63,0.38,0.38,39.65,3.1,0.7,29.89,0.27,21.60B,1.74B,209.50M,0.97%,3.78%,31-Dec,30-Sep-11,2.20%,2.98%,0.82,108.92,1.64B,5.16M,N/A,5.12M,7.9,"350,057",12.4,10.8,-12.9,-31.33,3422557,18.43,
ACHC,1.33,8.92,10,N/A,"26,509","5,071",470.81%,473.13%,157.28M,17.63M,4.79M,N/A,N/A,N/A,4.19,-1.13,-1.13,6.51,0.2,2.19,N/A,1.41,114.83M,-3.03M,-19.39M,-17.43%,-4.99%,31-Dec,30-Jun-11,N/A,N/A,1.09,189.96,3.46M,N/A,N/A,N/A,N/A,"4,600",8.4,9.97,18.69,-31.33,338536.82,50.02,
ACHN,2.6,5.6,8.95,0.61,"566,335","792,075",96.21%,98.53%,390.56M,69.74M,48.05M,N/A,N/A,N/A,1.18,-0.62,-0.62,0.04,0.93,4.83,N/A,181.2,2.19M,-37.84M,-38.06M,N/A,-1742.06%,31-Dec,30-Sep-11,-30.12%,-55.15%,8,0.49,65.14M,5.13M,12.90%,5.51M,9.6,"153,514",6.9,7.62,10.43,-31.33,5794430.49,41.77,
ACI,13.09,13.63,36.99,1.81,"6,794,560","6,493,100",-52.78%,-50.46%,2.88B,211.62M,210.40M,0.44,3.20%,16-May-06,16.7,0.73,0.73,21.44,0.75,0.83,18.72,0.77,3.81B,844.03M,129.95M,3.41%,11.58%,31-Dec,30-Sep-11,3.76%,4.56%,1.53,109.71,158.51M,11.51M,9.00%,13.19M,1.5,"3,799,689",16.19,14.51,-10.38,-31.33,72104247.13,20.96,
ACIW,24.23,27.57,37.93,0.28,"352,697","233,375",9.07%,11.39%,923.68M,33.50M,33.03M,N/A,N/A,2-Jul-96,8.59,1.43,1.43,14.12,5.36,3.26,19.23,1.99,471.30M,103.40M,49.06M,10.41%,16.02%,31-Dec,30-Sep-11,7.89%,19.07%,1.57,26.06,179.70M,3.03M,14.70%,2.61M,6.8,"107,096",30.02,28.64,-4.6,-31.33,5647783.85,26.74,
ACK.V,none,0.13,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"10,000",0.155,0.225,45.16,-31.33,3375,76.49,
ACL.V,0.15,0.2,0.48,N/A,347,0,-35.48%,-33.16%,1.91M,9.54M,7.59M,N/A,N/A,N/A,-0.31,0.01,0.01,1.76,0.19,N/A,15.38,0.11,16.78M,3.32M,-594.60K,0.72%,11.94%,31-Mar,30-Jun-11,5.26%,N/A,0.61,N/A,1.83M,N/A,N/A,N/A,N/A,550,0.16,0.155,-3.13,-31.33,0,28.21,
ACLLF.PK,52.46,63.09,64.88,N/A,22,0,20.26%,22.58%,N/A,NaN,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,250",63.09,56.0614,-11.14,-31.33,0,20.19,
ACLS,1,1.13,3.77,2.08,"600,091","587,288",-57.53%,-55.21%,120.32M,106.48M,104.72M,N/A,N/A,N/A,2.03,0.11,0.11,3.33,0.42,0.54,10.37,0.33,352.41M,17.46M,11.52M,3.27%,3.66%,31-Dec,30-Sep-11,3.04%,5.56%,4.35,N/A,44.41M,3.81M,3.60%,4.26M,6.2,"229,586",1.28,1.33,3.91,-31.33,674078.23,35.24,
ACM,16.39,19.92,29.98,0.72,"984,882","995,462",-23.76%,-21.44%,2.38B,119.45M,102.70M,N/A,N/A,N/A,21.09,2.33,2.33,68.46,3.19,0.95,8.55,0.3,8.04B,490.06M,275.80M,3.43%,4.68%,30-Sep,30-Sep-11,N/A,12.15%,N/A,47.16,381.47M,2.86M,N/A,2.07M,3.4,"373,815",21.47,20.57,-4.19,-31.33,13790885.71,27.14,
ACME.PK,0.51,0.75,1.36,N/A,"12,220","7,650",-26.47%,-24.15%,12.03M,16.05M,N/A,N/A,N/A,N/A,1.17,0.32,0.32,0.93,0.69,0.64,2.36,0.8,14.98M,-362.00K,-3.40M,34.11%,-9.84%,31-Dec,30-Jun-11,-2.10%,-18.00%,1.36,3.62,11.11M,N/A,N/A,N/A,N/A,"9,000",0.75,0.67,-10.67,-31.33,6310.07,20.67,
ACMUY.PK,2.61,3.92,5.38,N/A,"2,478","1,013",39.51%,41.83%,614.11M,156.66M,23.97M,N/A,N/A,N/A,21.81,-10.77,-10.77,18.6,12.45,0.18,N/A,0.21,2.91B,-1.55B,-1.69B,-57.90%,-54.62%,31-Mar,30-Sep-11,-5.69%,-38.21%,3.36,265.51,1.95B,N/A,N/A,N/A,N/A,"3,396",3.94,4.41,11.93,-31.33,0,43.26,
ACN,43.06,53.7,63.66,0.82,"4,552,630","3,146,240",22.33%,24.65%,34.42B,640.91M,638.02M,1.35,2.50%,N/A,6.05,3.4,3.4,42.37,8.9,8.87,15.81,1.26,27.35B,4.06B,2.28B,8.33%,12.97%,31-Aug,31-Aug-11,15.52%,66.97%,1.45,0.1,5.71B,10.92M,N/A,11.83M,2.5,"1,439,321",57.97,53.23,-8.18,-31.33,135358452,23.16,
ACNB,13.28,14.12,16.5,0.58,"2,163","2,225",-8.70%,-6.38%,83.89M,5.94M,5.81M,0.76,5.50%,28-Nov-07,16.74,1.41,1.41,6.9,9.26,0.82,10,1.99,40.91M,N/A,8.37M,20.47%,30.49%,31-Dec,30-Sep-11,0.83%,8.66%,N/A,N/A,54.99M,874,N/A,2.07K,0.5,160,13.759,13.83,0.52,-31.33,111530.91,31.85,
ACO,21.6,26.97,42.72,1.87,"148,232","108,388",-4.46%,-2.14%,854.14M,31.67M,25.16M,0.72,2.60%,2-Dec-97,12.64,1.12,1.12,29.75,0.3,2.2,24.12,0.94,939.60M,120.22M,36.19M,3.84%,8.46%,31-Dec,30-Sep-11,6.03%,8.87%,3.14,64.22,9.35M,3.07M,N/A,3.01M,17.4,"56,609",31.74,26.85,-15.41,-31.33,3498862.7,15.93,
ACOM,20.67,22.36,45.79,N/A,"1,079,150","911,150",-25.50%,-23.18%,985.29M,44.06M,30.01M,N/A,N/A,N/A,7.41,1.16,1.16,8.37,1.06,2.99,19.34,2.58,378.17M,126.82M,57.13M,15.11%,23.04%,31-Dec,30-Sep-11,10.90%,17.14%,0.54,N/A,46.90M,5.97M,22.30%,5.55M,5.8,"260,716",23.3,22.96,-1.46,-31.33,16543072.09,29.87,
ACOR,18.36,20.9,33.48,0.61,"488,457","450,875",-19.91%,-17.59%,829.04M,39.67M,34.00M,N/A,N/A,N/A,4.78,0.54,0.54,7.37,6.78,4.5,38.49,2.98,286.39M,44.52M,21.58M,7.54%,14.03%,31-Dec,30-Sep-11,7.36%,13.11%,4.49,3.39,268.81M,4.42M,13.10%,4.48M,8.9,"178,620",23.18,23.84,2.85,-31.33,9963056.96,34.18,
ACP,none,15,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"38,957",15.35,15.393,0.28,-31.33,1116174.99,31.61,
ACP.V,N/A,0.16,N/A,N/A,N/A,N/A,N/A,none,8.79M,56.72M,37.44M,N/A,N/A,N/A,0.2,N/A,N/A,N/A,0.12,0.77,N/A,N/A,N/A,-459.36K,-857.95K,N/A,N/A,31-Jul,30-Apr-11,-7.09%,-12.94%,95.3,N/A,6.61M,6.02K,N/A,27.80K,0.2,"4,000",0.12,0.15,25,-31.33,1875,56.33,
ACPIQ.PK,0.01,0,0.96,N/A,"143,714","414,686",-98.91%,-96.59%,234.88K,93.95M,N/A,N/A,N/A,N/A,3.74,-5.39,-5.39,-2.2,9.39,0,N/A,N/A,-175.64M,N/A,-420.26M,N/A,112.79%,31-Dec,30-Sep-09,-11.33%,-53.66%,4.9,373.41,882.56M,N/A,N/A,N/A,N/A,"126,202",0.004,0.0023,-42.5,-31.33,549.19,-11.17,
ACPW,0.64,0.66,3.03,-0.22,"542,698","544,612",-68.27%,-65.95%,53.23M,80.17M,62.61M,N/A,N/A,N/A,0.24,-0.05,-0.05,0.96,0.12,2.8,N/A,0.69,76.49M,-1.93M,-3.61M,-4.72%,-4.44%,31-Dec,30-Sep-11,-5.47%,-18.47%,1.76,29.29,9.45M,4.25M,5.40%,4.27M,6.2,"88,248",0.65,0.66,1.54,-31.33,445568.39,32.87,
ACQ.TO,N/A,5.55,N/A,N/A,N/A,N/A,N/A,none,110.33M,19.88M,5.61M,N/A,N/A,N/A,4.62,0.75,0.75,49.04,2.48,1.21,7.44,0.11,974.90M,34.56M,14.82M,1.52%,3.11%,31-Dec,30-Sep-11,6.21%,16.72%,1.2,217.58,49.37M,N/A,N/A,N/A,N/A,"4,900",5.55,6.4,15.32,-31.33,54063.05,46.65,
ACRX,2.73,2.9,5.09,N/A,"5,225","14,375",N/A,none,56.70M,19.55M,3.79M,N/A,N/A,N/A,1.19,-1.37,-1.37,0.04,1.64,2.43,N/A,126.58,448.00K,-15.94M,-17.25M,N/A,-3661.61%,31-Dec,30-Sep-11,-44.11%,-168.07%,6.69,38.01,32.02M,2.58K,0.10%,1.66K,0.6,"2,600",2.91,1.92,-34.02,-31.33,48505.83,-2.69,
ACT.V,0.01,0.07,0.6,N/A,"13,528","8,825",-82.50%,-80.18%,758.48K,11.67M,9.30M,N/A,N/A,18-Aug-11,0.05,N/A,N/A,0.34,0.01,1.25,N/A,0.19,3.91M,-2.69M,-3.10M,-79.23%,-70.87%,31-Jul,31-Jan-11,-54.18%,-171.75%,1.43,3.41,160.29K,N/A,N/A,N/A,N/A,"29,200",0.075,0.085,13.33,-31.33,1066.94,44.67,
ACTC.OB,0.07,0.11,0.27,-4.41,"6,328,200","8,303,010",42.86%,45.18%,179.12M,1.69B,1.57B,N/A,N/A,N/A,-0.03,-0.05,-0.05,0,0.01,N/A,N/A,320,549.75K,-17.44M,-102.14M,N/A,-3189.36%,31-Dec,30-Sep-11,-106.53%,N/A,0.29,N/A,13.90M,N/A,N/A,N/A,N/A,"1,886,380",0.1048,0.082,-21.76,-31.33,682143.48,9.58,
ACTG,22.12,28.76,47.24,0.78,"520,249","414,588",4.67%,6.99%,1.23B,42.91M,41.44M,N/A,N/A,N/A,7.5,0.54,0.54,4.35,7.39,3.89,52.87,7.6,164.56M,35.61M,21.73M,13.21%,17.55%,31-Dec,30-Sep-11,7.08%,10.17%,7.92,N/A,317.18M,2.45M,6.90%,2.59M,4.4,"135,617",34.77,36.51,5,-31.33,15501555.14,36.34,
ACTS,1.67,1.93,2.6,0.81,"36,068","34,613",-6.73%,-4.41%,134.18M,69.52M,65.23M,N/A,N/A,N/A,4,0.04,0.04,0.65,2.99,0.48,45.95,2.94,45.93M,-7.44M,3.02M,6.57%,-24.35%,31-Dec,30-Sep-11,-2.34%,1.09%,8.17,4.31,207.50M,24.39K,N/A,15.81K,0.7,922,1.92,1.83,-4.69,-31.33,102189.93,26.64,
ACTV,12.6,13.04,19.99,N/A,"105,775","192,925",N/A,none,707.59M,54.26M,23.60M,N/A,N/A,N/A,6.1,-0.12,-0.12,5.48,2.56,2.13,N/A,2.19,322.97M,23.66M,-6.92M,-4.94%,-3.31%,31-Dec,30-Sep-11,-1.43%,-5.87%,1.21,1.07,139.02M,1.70M,N/A,1.80M,15.8,"57,159",12.43,13.6,9.41,-31.33,2993590.8,40.74,
ACU,8.51,9.41,11.02,0.52,"2,027","2,986",-4.37%,-2.05%,29.43M,3.13M,2.60M,0.28,3.00%,N/A,8.89,0.89,0.89,22.95,2.01,1.06,10.63,0.42,70.83M,4.90M,2.73M,3.85%,5.60%,31-Dec,30-Sep-11,4.72%,10.33%,5.64,65.69,6.27M,1.91K,0.10%,1.62K,0.8,600,9.63,9.5,-1.35,-31.33,40711.25,29.98,
ACUR,2.28,2.98,6.8,0.68,"107,346","92,338",18.39%,20.71%,135.05M,45.32M,11.58M,N/A,N/A,5-Dec-07,0.84,0.19,0.19,0.44,0.83,3.69,15.6,6.72,20.83M,9.58M,9.10M,43.72%,45.35%,31-Dec,30-Sep-11,17.76%,28.43%,34.13,N/A,37.66M,1.14M,10.30%,1.04M,6.3,"21,189",3.58,3.49,-2.51,-31.33,191309.65,28.82,
ACUS.PK,0.05,0.08,0.15,3.17,"44,940","17,525",N/A,none,3.70M,49.28M,N/A,N/A,N/A,N/A,-0.58,-1.46,-1.46,0.06,0.33,N/A,N/A,1.38,2.68M,-32.41M,-69.42M,N/A,-1582.41%,31-Dec,31-Dec-08,-70.66%,N/A,1.27,N/A,16.45M,65.04K,0.20%,210.41K,0,850,0.075,0.057,-24,-31.33,6387.1,7.33,
ACUZW.OB,0,0,0.23,N/A,"5,443","4,750",-98.11%,-95.79%,94.47K,47.24M,N/A,N/A,N/A,N/A,6.21,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6,686",0.002,0.0003,-85,-31.33,2.9,-53.67,
ACW,4.35,5.59,16.34,3.84,"661,651","442,562",-50.92%,-48.60%,264.33M,47.29M,32.20M,N/A,N/A,19-Nov-10,5.9,-3.21,-3.21,23.31,0.81,0.99,N/A,0.29,959.35M,73.01M,-122.64M,-13.76%,2.29%,31-Dec,30-Sep-11,1.59%,-78.32%,2.06,115.77,38.47M,2.24M,4.80%,2.69M,3.8,"189,502",5.98,7.12,19.06,-31.33,1941451.11,50.4,
ACWI,none,39.45,none,none,none,none,none,none,-5.85%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,iShares,2.15B,none,none,none,none,none,none,none,none,none,"236,745",42.91,42.17,-1.72,-31.33,50635489.05,29.61,
ACWX,none,34.57,none,none,none,none,none,none,-10.19%,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,iShares,868.83M,none,none,none,none,none,none,none,none,none,"137,973",38.01,36.81,-3.16,-31.33,19028873.48,28.18,
ACXIF.PK,64.75,83.66,115.64,N/A,326,100,23.54%,25.86%,4.90B,58.58M,20.42M,N/A,N/A,N/A,125.94,8.66,8.66,165.6,48.91,0.68,9.66,0.52,9.70B,1.82B,507.44M,5.23%,8.60%,31-Dec,30-Sep-11,1.87%,6.45%,1.12,154.46,2.87B,N/A,N/A,N/A,N/A,7,92.08,86.51,-6.05,-31.33,832.99,25.28,
ACXM,8.94,11.2,18.83,1.12,"616,383","362,438",-34.90%,-32.58%,876.67M,78.27M,77.31M,N/A,N/A,12-Nov-96,7.32,-0.29,-0.29,14.72,1.52,1.55,N/A,0.75,1.19B,241.88M,-22.97M,-1.94%,10.07%,31-Mar,30-Sep-11,5.82%,-4.60%,1.64,54.42,119.16M,2.76M,4.00%,3.23M,5,"153,150",12.63,12.21,-3.33,-31.33,3960991.37,28.01,
ACY,5.3,6.75,24,1.19,"5,809","8,288",-61.33%,-59.01%,10.42M,1.54M,1.22M,N/A,N/A,N/A,25.73,-2.39,-2.39,14.54,0.95,0.26,N/A,0.46,22.44M,3.20M,-3.69M,-16.43%,-13.12%,31-Dec,30-Sep-11,N/A,N/A,N/A,161.18,1.46M,1.36K,0.10%,996,0.4,"2,315",7.85,6.15,-21.66,-31.33,56061.9,9.68,
AD.TO,10.6,16.85,17.47,N/A,"20,405","35,088",56.10%,58.42%,285.91M,16.97M,7.89M,N/A,N/A,N/A,11.65,1.93,1.93,2.71,0.73,1.44,8.74,6.46,43.97M,38.30M,32.55M,74.03%,86.74%,31-Dec,30-Sep-11,12.66%,19.99%,4.96,N/A,12.30M,N/A,N/A,N/A,N/A,"6,640",16.95,18,6.19,-31.33,210439.35,37.53,
ADA.TO,0.21,0.22,0.47,N/A,"28,242","9,025",-42.11%,-39.79%,11.92M,54.19M,15.06M,N/A,N/A,17-Nov-10,0.17,0.02,0.02,N/A,0.07,1.3,12.94,N/A,N/A,-3.61M,963.83K,N/A,N/A,31-Dec,30-Jun-11,-18.56%,12.47%,3.14,10.02,3.78M,N/A,N/A,N/A,N/A,"5,000",0.195,0.15,-23.08,-31.33,1128.75,8.26,
ADAC.OB,none,0.2,none,none,none,none,none,none,N/A,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,"5,000",0.21,0.138,-34.29,-31.33,1877.42,-2.95,
ADAT,0.4,0.72,1.6,1.13,"83,554","59,738",19.35%,21.67%,37.62M,52.25M,41.84M,N/A,N/A,N/A,0.06,-0.29,-0.29,0.06,0.02,13.42,N/A,13.57,2.84M,-6.92M,-7.65M,N/A,-256.60%,30-Jun,30-Sep-11,-32.72%,-77.17%,1.89,N/A,938.00K,1.21M,N/A,1.43M,8.7,"88,593",0.79,0.68,-13.92,-31.33,154697.34,17.41,
